text,label,notes
A lot of characters seemed underdeveloped. Amaterasu did a quick 180 with like three lines of dialogue. Arrow has zero backstory or plot relevance. Necromancer girl didn't even get an ending.,analysis,
"It kinda felt rushed and forced, he got like 10 minutes of screen time and they tried to develop him in that 10 minutes.",analysis,
"Him witnessing our era while Shinra's doppelganger was in control would explain how he recreated the Soul Eater world, and it hints the priestess is a doppelganger too.",analysis,
"I thought it was a well crafted finale, but the author had an idea for an ending in mind and tacked on a battle shonen beforehand. The lightness only shows up after two and a half seasons of nothing.",analysis,
"As someone who never saw Soul Eater, the ending doesn't make sense. The resolution to humanity's fear of death doesn't feel resolved, Death is a physical entity now but people still die. Feels like a tie in for its own sake.",analysis,
"Soul Eater takes place a minimum of 800 years later, probably more, so nothing gets messed up.",analysis,
"With how they portray it, it seems like only 40 years passed, because they show older Shinra, then the kids who made Death, then Maka, then Black Star.",analysis,
Yeah the anime missed a transition title that the manga didn't.,analysis,
"A good anime adaptation, nearly, if ss3 part 2 wasn't crammed with 80+ chapters. Good animation, soundtrack, op and ed, and it adapted the whole story. Only problem was overusing the fanservice.",analysis,
Tamaki only has stripping scenes for about 6 minutes out of a runtime of 300+ minutes.,analysis,
"I didn't think the fan service was bad, mild compared to Fairy Tail. Only issue is they teased Tamaki unlocking more powers during the press of death thing and never went further.",analysis,
Didn't Shinra's assistant say his children join up soon? So the blond one and pink one are both Shinra's. It wouldn't make sense for Iris to be with Arthur.,analysis,
I could barely get through the last season. I hate we didn't see Joker and Benimaru. The sound work is pure eargasm but the seriousness and pacing of the first two seasons got demolished by the end.,analysis,
"Females are really underutilized. The only strong female characters are Haumea and the Evangelist, the rest are fodder or fan service. Maki is strong but underutilized after season 2.",analysis,
"s3 part 2 felt like a completely different anime. Arthur breathing in space, Shinra randomly becoming god, Joker getting no airtime or conclusion. I didn't like it turning into despair vs hope.",analysis,
"Too many deus ex machinas. He gets a trinket that lets him breathe in space, Shinra combines with his mom and brother and becomes god. Deus ex machina and time manipulation are tools of lazy writing.",analysis,
Pretty sure anime onlies found AoT and MHA good endings compared to when the manga came out. Even Assassination Classroom and Mob Psycho 100 had good shonen endings.,analysis,
"The author wouldn't be animating it. People aren't saying there will be a remake, they want a more faithful adaptation, and Fire Force ending brought the discussion back up.",analysis,
"I think they did fantastic with the animation and how they portrayed each character. I just wish they gave Obi more fights, I loved season one when he fought Benimaru.",analysis,
"The ending is fantastic, and the fact that it's ambiguous and a prequel to Soul Eater makes it even more brilliant. Pure cinema, 10/10.",hot_take,
Finally a good shonen ending. People complained about shows ending bad and we finally got some good food.,hot_take,
I absolutely found AoT and MHA's endings good and I'm anime only.,hot_take,
Honestly to me this is the perfect anime ending I've ever seen.,hot_take,
"Avoided Fairy Tail because it was super cringe for the same reason. I came to watch people fight with great animation, not cartoon boobs.",hot_take,
I think the ending is a nightmare for the sad ending fans.,hot_take,
Arthur best character. They explained the fanservice and it was great. Too many people performative by hating on it.,hot_take,
"IMO the final episode was incredibly underwhelming, but the show itself was absolute peak.",hot_take,
"I got to episode 3, saw Shinra SA a 17 year old, then dropped it. Not worth it.",hot_take,
Tamaki makes the show a 10/10.,hot_take,
I loved Fire Force and Soul Eater but I can't get over the crazy amount of ass pull that got to the ending.,hot_take,
People who rate Fire Force high are also Soul Eater fans. Remove the tie in and it was a hot mess.,hot_take,
Hinawa isn't gay in canon and Obi probably isn't either. The entirety of company 8 except Arthur is bi. Arthur is gay imo.,hot_take,
Assassination Classroom makes me tear up every time and I know it's coming. So good.,reaction,
"Goated. Now time for Soul Eater. Just saw ep 1 and the animation is amazing, interesting.",reaction,
"Hold up, the silly battle anime where everyone has fire powers is actually an exploration of Jungian psychology as foundational myth?",reaction,
"I somehow really loved it. A nice wtf happy ending, plus Excalibur, Shinigami, Kid, Maka, Black Star and Soul at the end. 9/10, they nailed it.",reaction,
The sounds of Fire Force will forever be my favorite part. They told the sound dept to go as hard as possible.,reaction,
"Still one of my favourite animes ever, planning on reading the manga since I have nothing else to do.",reaction,
Me knowing nothing about Soul Eater means the ending meant a bit less for me.,reaction,
I felt Joker's arc is unfinished.,hot_take,
"Good finale overall, I love the earnest nature of it, but a lot of characters felt included for vibes, too much is excessive.",hot_take,
7/10. I watched Soul Eater growing up so it was nice seeing the origin. Arthur vs Dragon does the heavy lifting. I liked the lore more than actually watching.,hot_take,
"Only thing I hated about the ending is the laughing at the end, it got grating and I wanted to skip it.",hot_take,
"After Fire Force, a sorcerer named Eibon found Excalibur and tried to make demon weapons from its DNA. Lord Death stopped the experiments as inhumane, but remnants got out, and to become a true demon weapon you need 99 kishin souls and 1 witch soul.",analysis,
"While Death took the fire powers, he didn't take all their potential, so strong willed people like Obi, Benimaru, and Shinra developed new abilities. I believe Inca created what became Witch magic in Soul Eater.",analysis,
"My theory is no one knew souls were a power source because everyone relied on fire. After fire abilities were gone, people leaned into souls, learned to manipulate them, and that became witchcraft.",analysis,
"Soul Eater takes place 800 years after Fire Force, not 2000.",analysis,
Art style. In the later chapters of Soul Eater the moon looks closer to its Fire Force design.,analysis,
"When Assault went to one of those hostess cafes, the red haired guy behind him was loudly complaining that his daughter doesn't love him, which is a clear Spirit reference from Soul Eater.",analysis,
"Haven't read the manga, but my theory is Arthur gets ahold of Lu's toy, and with the second great cataclysm turning thoughts into reality, that is how Excalibur is born.",analysis,
"Read the manga, it's much better than the anime. The anime isn't the worst, but since the manga wasn't complete at the time, the ending is different and it's missing a few arcs.",analysis,
"Fire Force will forever be a favorite because of the sound design and fight scenes. The sound team went above and beyond, if you have a sound system you'll hear all the bass. The only anime that compares on sound is That Time I Got Reincarnated as a Slime.",analysis,
"I didn't love the ending, it got too goofy. The show started as something that could rival JJK and the end was far removed from how it started.",analysis,
"The anime is a bad adaptation that did its own thing, similar to how the original FMA anime diverged while Brotherhood is the proper adaptation.",analysis,
"The anime is fantastic, just read the manga after, it concludes the story whereas the anime diverged and finished before the manga was done.",analysis,
"Brilliant last two episodes, but some questions were left. Who were the two kids, how did Arthur come back to earth, what happened to all the White Clad if everyone lost their powers?",analysis,
"Two things they could have done better: more fights for side characters, and not turning the cat girl into fan service then explaining it away as freedom. Otherwise it was fun.",analysis,
"It's just Arthur's hairstyle. The daughter has the unique magenta hair as Inca that no other character has, that's why we're certain she's Inca's. But the son's hairstyle isn't unique, the kid just idolizes Arthur.",analysis,
"The hair color is closer to Arthur's than Iris's, but logically there's almost no way it isn't Iris and Shinra's kid. They'd give Arthur's kid his eye shape and white pupils to signal it.",analysis,
"You can see Inca's logo resembles the one Medusa has in Soul Eater, and the other kid has the Iris flower on their coat.",analysis,
"In the sub the guy tells Shinra his child has come, but the dub says family, and in the manga he's told his kids are here, so it's confirmed.",analysis,
"The Arthur resemblance is like Boruto admiring Sasuke. The son was likely Arthur's apprentice and carried on his will and Excalibur, that's why he copied the look.",analysis,
"Her whole point is that death was the only help she could get. The pain she felt was everyone's, so in her logic everyone needed death.",analysis,
"The world's religion was set up by one of the villains to bring about the end of the world. She knows this because she works closely with him, so she knows the religion is fake.",analysis,
"She was only 16. The White Clad needed her as one of the pillars, so they kept her alive long enough to free humanity. Her role as saint was subverted from increasing happiness to ending despair.",analysis,
"If she didn't take everyone with her, another despair saint would just be born. She wasn't a unique mutation, she was a symptom of humanity.",analysis,
"She grew up in a death cult that believed a second cataclysm was the solution, and she was born with the exact power they needed. The system was rigged against her from the start.",analysis,
"Even if she got help, another despair saint would have been born and restarted the process. The show leans into immutable fates, so another saint was inevitable.",analysis,
"With or without her the cataclysm would have happened, the barrier between imagination and reality was weakening regardless, on top of new fire soldiers getting stronger.",analysis,
"She is a manifestation of humanity's collective desire, the archetype of the Saint forced to hold everyone's fears. Therapy wouldn't change her experiencing billions of deaths, so in her mind extinction was the only way to end the despair.",analysis,
"The Evangelist plot feels based on the real Pro Extinction movement, the idea of ending all suffering through the extinction of all life.",analysis,
"It just makes no sense, the author only wanted to connect this to his old manga to boost its sales.",hot_take,
Now THAT'S how you write a good ending.,hot_take,
"One of my favorite power systems in anime, very creative and I love how it ties into the real world.",hot_take,
The last two seasons weren't as good but they closed it out with a bang. Overall I loved it.,hot_take,
Genuinely the best ending of any modern shounen imo.,hot_take,
"Just finished the series. The ending sucked, what a disappointment.",hot_take,
It's genius how the author turned Fire Force into a prequel to make fans go back and rewatch Soul Eater. Gorgeous story.,hot_take,
"A super cool story, power system, and character designs, totally ruined by the fan service characters.",hot_take,
"No, but let's be honest, we all know it's the truth.",hot_take,
"Was great early and even the first cour of season 3, but the second cour got progressively worse, so I'm glad it's over.",hot_take,
I sincerely wish for a remake that follows the actual manga. Soul Eater is such a gem and deserves more attention.,hot_take,
Still was a cool concept.,reaction,
"Facts, it's been a decade since I read it, you're so right, it's basically the same moon.",reaction,
"It's crazy it's been seven years since it aired and now we're at the finale. Sad to see it end, but I'll always be grateful for the memories.",reaction,
The finale was a great send off. I'll miss watching new episodes every Friday deeply.,reaction,
Goodbye peak anime.,reaction,
"I love when anime have a real conclusion, such a great feeling, no waiting decades for a new season.",reaction,
"It could've been better, but I still enjoyed it. Been a fan since 2017.",reaction,
"Just finished. In a world of disappointing endings, this one was great, 100 percent love it.",reaction,
"Man, that was a weird, wtf ending.",reaction,
"No Tempe rebirth, but still 10/10, loved it, so funny and well done.",reaction,
"I remember stumbling on Fire Force in early 2020, my first real anime. Crazy how six years have passed.",reaction,
"Compared to its rivals back then like Demon Slayer, Vinland Saga, and Dr Stone, Fire Force wasn't that popular. It blew up after the Inferno opening went viral on TikTok during COVID.",analysis,
"Fire Force is incredibly popular, it has sold about 20 million manga copies, the same as Dr Stone.",analysis,
"What doesn't make sense is Inca told Shinra's mom they were dating, then overnight became a witch and said she only wanted his children. The motivations changed off screen out of nowhere.",analysis,
"Inca said she didn't want sex or love, just his child, and that Viktor could find a way without Shinra being involved, so that's probably how it happened.",analysis,
"Fire Force and Demon Slayer have similar endings, the ending is pleasant and deserved but the climax leading to it was bad. Dr Stone is one of the few with a great ending.",analysis,
"The point at the start was a mature story where death matters, that was Okubo's own statement, but halfway through it was clear he didn't have a plan. Why was the White Clad even trying to blow up Tokyo?",analysis,
"Okubo's narrative style basically boils down to concepts and willpower beating conventional logic, same as in Soul Eater.",analysis,
"The show isn't full of fan service, it's basically that one episode, people make it a bigger problem than it is.",analysis,
Why does she have to be 17? It could have been the 25 year old Maki. Making her at least 20 would have made it far easier to take.,analysis,
At least here they tried to justify it. In Fairy Tail there's a completely unnecessary bikini battle during the tournament arc.,analysis,
"The fan service ties into the core theme. The whole final arc is about imagination versus reality and the importance of human imagination, so it isn't just half explained.",analysis,
"The justification is that the world literally became anime-land after the cataclysm, so anime logic and gags became real, which is why Tama regenerates from layers and Tamaki gets fan service scenes.",analysis,
"Nobody talks about how the ending itself isn't that great, it's just conclusive and wraps up everyone's arcs. The problem is the arcs themselves aren't that interesting.",analysis,
"That Tamaki episode is one of the worst episodes of anime I've seen. The real life filmed portion could have been cool but it was executed poorly, it dropped my rating from 8 to 7.",analysis,
"My issue is she doesn't consent to being the fan service character until the very end. It happens to her, not because of her, which makes the late explanation feel weird.",analysis,
"Soul Eater, Naruto, and Bleach all had heavy fan service and were still straightforward plot progression. Fire Force has been doing fine narratively.",analysis,
"Ohkubo is at his worst writing fan service. The fight where the explanation happens is some of his worst work, Tamaki gets treated like a weak Sakura who spends half her screen time getting stripped. It's a black mark on a good series.",analysis,
"Given the explanation of what Adolla is, Yona makes even less sense, and he just vanishes by the end of the last season.",analysis,
"Yona is an infernal based on an alien, like how Dragon and Faerie are implied to be infernals or doppelgangers, and Giovanni being a bug.",analysis,
"The illusion guy got split by Arthur, the mustache guy got brain damage, the giant disappeared after the second Nether arc. Most of the White Clad just vanish without a final fight.",analysis,
"This is a prequel to Soul Eater, and there's only one character with three vertically long eyes like that, which ties Yona to Asura the kishin.",analysis,
"Yona goes back to Adolla after his job is done, that's why he disappears. The design is him cosplaying the despair of humanity as a focus for the White Clad's prayers.",analysis,
"Loved this design because it's foreshadowing for what despair will look like, the three eyes.",analysis,
"Disturbing not in the design itself but in how it shows up for one minute, never gets explained, and never comes back. The lack of context drives me crazy.",analysis,
"Hibana was the best girl, I didn't understand the priest and her getting together.",hot_take,
Headcanon Inca stayed dead because she was an awful character and her shoehorning into the love triangle was garbage.,hot_take,
"Any anime that ends with everyone lives and everyone is happy is horrible, and Fire Force adds everyone revives on top. Neither the ending nor the work makes sense.",hot_take,
Generic ending lol.,hot_take,
An ending that doesn't make sense.,hot_take,
"Eh, it's an okay ending. I've never been a fan of happily ever after endings, so I won't make Fire Force an exception.",hot_take,
"I can not upvote this post enough, Fire Force is one of the best new gen mangas.",hot_take,
"A lot of people are sleeping on Fire Force, I'm gonna keep saying it.",hot_take,
Fire Force is seriously phenomenal. Season 3 fell from the greatness of 1 and 2 but it's still amazing.,hot_take,
"The fan service in Fire Force is as bad as other shows, but sometimes it's just really badly timed.",hot_take,
Mushoku Tensei does suck though.,hot_take,
I hate his designs.,hot_take,
"I think it makes sense, the guy was literally a plot device and nothing else.",hot_take,
"The plot explaining why the fan service is needed isn't good plot, it's stupid.",hot_take,
"Tamaki the shit, y'all bums.",hot_take,
I'll never understand the vehement hatred of fan service.,hot_take,
"He is a nothing character, only important to world building.",hot_take,
"Absolutely in my top 5. I love it. Okay, top 10.",reaction,
"Damn near fell off the chair seeing that for the first time, it blew my mind, so cool.",reaction,
"Made me want to watch through Soul Eater, now I gotta hop on the Soul Eater manga.",reaction,
I just wish we got to see a bit more of baby Excalibur.,reaction,
Honestly super cool.,reaction,
Joker really got reincarnated and his first thought was that he needed cigarettes.,reaction,
"I saw an edit of Shinra visiting the real human world, the creepiness and eerie music made me watch it, and now it's one of my favorite anime. A bit sad season 3 part 2 is the finale.",reaction,
"I'm watching for the first time, almost done with season 1. I thought it was a gag fan service anime but it has super dark and mature themes, I'm impressed so far.",reaction,
"Seeing this scene without being spoiled messed my head up, especially as the last episode of part 1. Unreal show.",reaction,
"Definitely a scene that felt unique, I don't think I've seen something similar in anime.",reaction,
I'm legit going crazy over how no one brings up this disturbing weird design and how it never comes back.,reaction,
"When they got to Amaterasu they started skipping panels and moving content from other chapters to support the faster pacing, and it's harmful because a level of sentiment is now missing due to the tight 13 episode budget.",analysis,
"It's not the production's fault, they have to work with the handful of episodes they were given. It's a bit rushed but the story still flows and there aren't really plot holes.",analysis,
"They removed everything that made the Kurono doppelganger fight important and gave a pointless brief fight. If they were going to strip its substance, why include it at all instead of skipping it like Rekka and Hagu?",analysis,
"They cut Faerie's great cataclysm team who were key to the bigger doppelgangers like Assault and Beni, which also removes the martyrdom religious aspect and makes Faerie look weaker by having him die for no reason.",analysis,
"Skipping Benimaru vs Kurono, a fight between two of the strongest, should have been a highlight. Beni is one of the most popular characters, so what are they even thinking.",analysis,
This episode is the epitome of why I hate Arthur. They treat the reveal of his trash parents as a joke instead of a scene where he's pulled into reality and deals with being abandoned. His trauma gets played for laughs.,analysis,
"Watch Kill la Kill, it's infinitely better when it comes to themes about fan service and nudity. This episode was kind of filler, though the fight was decent.",analysis,
"The whole point of sexuality representing life and vitality is off to me. It's important, but I wouldn't equate it to life itself.",analysis,
"It was basically 1:1 with the manga, making fun of anime fans who complain about fan service. I don't like it either, but it's true to the material.",analysis,
"This was the worst adapted episode of the series so far, and it keeps toning down the meta storytelling and religious satire.",analysis,
I thought I was hallucinating based on how abrupt and unserious Arthur's parents reveal was. It's a major reveal and basically nothing happened.,analysis,
"S1 was great, but everything since then has just been disappointing.",hot_take,
"S2 was also great, you're tripping.",hot_take,
This is easily the most disappointing anime of the year.,hot_take,
"The newest episode is completely ridiculous, that's all I wanted to say.",hot_take,
"Stop this much glazing, they skipped a lot of material. Just be happy we're getting it animated.",hot_take,
Skipping Kurono vs Beni was not peak.,hot_take,
"It was ridiculous in such an awesome way, and if anyone disagrees your opinion is invalid.",hot_take,
"Sexuality is important, but the author's way of getting that point across is horrendous. He could have expressed it in a more tasteful manner.",hot_take,
"Someone can say a bad parable with a message. The parable is still bad, it just has a message too.",hot_take,
Nothing wrong with sexuality.,hot_take,
"It's one of those you just kinda accept. Not the worst, not the best.",hot_take,
I thought it was fine personally.,hot_take,
"You just didn't understand the message, it wasn't ridiculous.",hot_take,
"Although I'm not a fan, it makes me give him props for showing restraint by leaving it as just underwear for Tamaki's final battle.",hot_take,
"I see people upset by the content skipped, but I have the ability to enjoy things in a vacuum, so I enjoy what I'm seeing for what it is.",reaction,
"I'm an anime only and plan to read the manga after the cour, I have no complaints, in love with the show.",reaction,
"The real life manga panels were among the creepiest panels I've ever seen, and I'm glad it translated well into the anime.",reaction,
I have never felt more uncomfortable watching an anime. The live action was done so well and so hauntingly.,reaction,
"I was avoiding the manga and I'm happy I did, what a surprise, I'm still stunned.",reaction,
"Holy fuck, okay where do I start reading, I appreciate the details, I didn't think it was that bad.",reaction,
Thanks for the detailed write up so I can read the manga for the skipped material.,reaction,
"Buckle up, from now on it's gonna get crazy. After the next pillar you'll fully understand the nature of the world of Fire Force.",reaction,
Reminds me of Punpun.,reaction,
"I was really upset before this episode because I knew what was coming. Arthur's parents are trash, he deserves so much better.",reaction,
At least he found a nice family in Company 8.,reaction,
"I really liked it, and the fact that Arthur's dad knew stuff the 8th never did was a nice touch.",reaction,
My tweet even ended up on Reddit.,reaction,
"I enjoyed it the way I enjoy Jojo's, just take it at face value and move on.",reaction,
"It's a disguise, he's undercover, not sure how believable it is though.",reaction,
"Glad it wasn't just me, I thought they straight up forgot to animate his face.",reaction,
Thought he was one of those things from the Dark Continent in HxH.,reaction,
I love how this is the disguise he went with.,reaction,
"Rewatched it too. After Bleach TYBW, finally peak again.",reaction,
Feels like I never left.,reaction,
"I read the manga and remember hating him until volume 15, where I went wow.",reaction,
Peak force.,hot_take,
"I can't wait for the final season, it's gonna be awesome.",reaction,
"That one Joker scene, I watch dub but I always have to switch to sub for that one part.",reaction,
I was a Joker simp since his first appearance.,reaction,
I'm currently rewatching for season 3 and I had the exact same reaction when Joker met and fought Shinra.,reaction,
"They did Soul Resonance in the recent episode. I've been a Soul Eater fan for a while so this is awesome, I didn't expect Shinra, his brother, and mom to do it.",reaction,
"Agreed, loving all the tie ins.",reaction,
"The beam attacks from the girl Shinra was fighting showed Asura's face with the three eyes, because they fused into one and had three eyes.",analysis,
Excalibur insults Arthur like he insults everyone in Soul Eater.,analysis,
"The birth of Excalibur, the first Soul Resonance, and the shaping of the Soul Eater world, it's so peak.",reaction,
They should have played the Soul Eater opening when they used Soul Resonance.,hot_take,
"Now as long as the next episode delivers Soul Eater fanfare and some nostalgic music, plus a remake please, I'll be happy.",reaction,
How did Arthur get his full body back? Imagination.,reaction,
